date,open,high,low,close,volume,ticker
2017-01-03,26.64072293806483,26.76265342394271,26.401462355027416,26.721242904663086,115127600,AAPL
2017-01-04,26.65221861045156,26.80405773102062,26.6292131617844,26.691328048706055,84472400,AAPL
2017-01-05,26.66833151086498,26.88458666204182,26.643024982314337,26.827072143554688,88774400,AAPL
2017-01-06,26.866173921837206,27.183655096543283,26.794856500946796,27.126140594482422,127007600,AAPL
2017-01-09,27.135346501738024,27.47583319061646,27.133047184967154,27.37460708618164,134247600,AAPL
2017-01-10,27.323987696089937,27.464323215522036,27.21586191121894,27.40220832824707,97848400,AAPL
2017-01-11,27.31708324686619,27.59085279664473,27.28487527103378,27.549442291259766,110354400,AAPL
2017-01-12,27.35389587030523,27.44591941905576,27.195155292590645,27.434415817260742,108344800,AAPL
2017-01-13,27.402204756622897,27.519534811964093,27.333186664021486,27.38610076904297,104447600,AAPL
2017-01-17,27.22506128906631,27.66217181460391,27.19745545400704,27.606958389282227,137759200,AAPL
2017-01-18,27.60696682825164,27.721995856702687,27.54024978112559,27.604665756225586,94852000,AAPL
2017-01-19,27.468929287987937,27.62766813604499,27.462027827881563,27.556350708007812,102389200,AAPL
2017-01-20,27.710483781160775,27.710483781160775,27.544843505195725,27.606958389282227,130391600,AAPL
2017-01-23,27.606957336766985,27.793303737125175,27.55404322958216,27.625362396240234,88200800,AAPL
2017-01-24,27.503437467807007,27.629968327868966,27.491933864527088,27.600061416625977,92844000,AAPL
2017-01-25,27.703582407104573,28.090079895944434,27.671374429301515,28.039466857910156,129510400,AAPL
2017-01-26,27.9911594124987,28.168305074232265,27.97505542099596,28.05327606201172,105350400,AAPL
2017-01-27,28.09928791224563,28.147599888382786,27.975056364234295,28.05557632446289,82251600,AAPL
2017-01-30,27.82091277645912,27.981952667236328,27.7587978915031,27.981952667236328,121510000,AAPL
2017-01-31,27.871526791718377,27.92674021974775,27.74959633368536,27.917537689208984,196804000,AAPL
2017-02-01,29.224270243127602,30.020272543535167,29.21966985497879,29.619970321655273,447940000,AAPL
2017-02-02,29.442829859307547,29.76721079542723,29.396817196422887,29.569360733032227,134841600,AAPL
2017-02-03,29.518742867675616,29.721195040945894,29.48423557014394,29.69588851928711,98029200,AAPL
2017-02-06,29.707388111636728,30.02256642123465,29.65447224868922,29.974252700805664,107383600,AAPL
2017-02-07,30.03177610407307,30.388366781299386,30.011071722207557,30.25953483581543,152735200,AAPL
2017-02-08,30.21812257855912,30.418271934267572,30.188213912384082,30.376859664916992,92016400,AAPL
2017-02-09,30.4184436905168,30.603288725916276,30.29598460376013,30.596357345581055,113399600,AAPL
2017-02-10,30.605594353577345,30.716499938538128,30.510860810394707,30.52703285217285,80262000,AAPL
2017-02-13,30.748851253837106,30.919833509046352,30.672602553228607,30.79737091064453,92141600,AAPL
2017-02-14,30.838976324893203,31.213285087974555,30.788143835385,31.197113037109375,132904800,AAPL
2017-02-15,31.312630803712807,31.485922364828532,31.104678814998433,31.310317993164062,142492400,AAPL
2017-02-16,31.347295215836816,31.400436986802053,31.155518752514713,31.273359298706055,90338400,AAPL
2017-02-17,31.215591511757644,31.384260996633373,31.215591511757644,31.358844757080078,88792800,AAPL
2017-02-21,31.476685021429972,31.596834850449913,31.418921155158582,31.585281372070312,98028800,AAPL
2017-02-22,31.522894113491006,31.68232294194656,31.44895820102879,31.68001365661621,83347600,AAPL
2017-02-23,31.742405741768746,31.765509176409616,31.49286537850821,31.54600715637207,83152800,AAPL
2017-02-24,31.402754362170246,31.576045989990234,31.25718826660075,31.576045989990234,87106400,AAPL
2017-02-27,31.68694138899264,31.756258722811197,31.48823357904668,31.638418197631836,81029600,AAPL
2017-02-28,31.6730654045286,31.756245465259763,31.585263249972208,31.652271270751953,93931600,AAPL
2017-03-01,31.860232400519113,32.3824163916019,31.79322787856917,32.29923629760742,145658400,AAPL
2017-03-02,32.34775608734624,32.41245131747088,32.06124612134738,32.107460021972656,104844000,AAPL
2017-03-03,32.06586918347313,32.308478066569165,32.02196809193067,32.29692459106445,84432400,AAPL
2017-03-06,32.20219428981536,32.29461857758971,32.02428414639865,32.19526290893555,87000000,AAPL
2017-03-07,32.130571306357986,32.343141903855376,32.06818534575366,32.23685836791992,69785200,AAPL
2017-03-08,32.10514955744675,32.301548072577894,32.07511475059646,32.116703033447266,74828800,AAPL
2017-03-09,32.056617593511305,32.06816753945405,31.666133523659298,32.04275131225586,88623600,AAPL
2017-03-10,32.17447553943943,32.19989178322456,32.03353155583584,32.1490592956543,78451200,AAPL
2017-03-13,32.082050798304046,32.21605985740259,32.07511941682055,32.16291809082031,69686800,AAPL
2017-03-14,32.18601029041943,32.26687754586189,32.07972328035605,32.114383697509766,61236400,AAPL
2017-03-15,32.21144681568917,32.52106032718292,32.12364460099241,32.45405578613281,102767200,AAPL
2017-03-16,32.51412590106739,32.58344324693821,32.407838833981906,32.50719451904297,76928000,AAPL
2017-03-17,32.57881607322998,32.57881607322998,32.32234440141568,32.34545135498047,175540000,AAPL
2017-03-20,32.44019399845661,32.69435648384705,32.40091498264672,32.685115814208984,86168000,AAPL
2017-03-21,32.83528396089231,32.994712755487875,32.28537096518604,32.310787200927734,158119600,AAPL
2017-03-22,32.31309859029822,32.71744553391698,32.292300925150975,32.67585372924805,103440800,AAPL
2017-03-23,32.638883610183065,32.712823028388804,32.488699014687725,32.560325622558594,81385200,AAPL
2017-03-24,32.69433996189426,32.74979452858138,32.42862765513974,32.49563217163086,89582400,AAPL
2017-03-27,32.20682392784006,32.62965588865848,32.028910217133244,32.55109786987305,94300400,AAPL
2017-03-28,32.55802651752383,33.281227727729544,32.49101845812078,33.22577667236328,133499200,AAPL
2017-03-29,33.19804436103866,33.3852022314122,33.0848294503589,33.29970932006836,116760000,AAPL
2017-03-30,33.31587499357841,33.38750159553107,33.156446221167535,33.25579833984375,84829200,AAPL
2017-03-31,33.20728317039026,33.33436434857821,33.043232281161146,33.19342041015625,78646800,AAPL
2017-04-03,33.204976232250445,33.299706275752946,33.052478807647475,33.20266342163086,79942800,AAPL
2017-04-04,33.09868495318175,33.47761565559979,33.080200098719224,33.44989013671875,79565600,AAPL
2017-04-05,33.322814079164985,33.609324078860624,33.22808050761731,33.27660369873047,110871600,AAPL
2017-04-06,33.33898291823909,33.3921281999704,33.14489722371151,33.19342041015625,84596000,AAPL
