week,selected_stocks,gross_return,selected_count,entry_cost,exit_cost,total_cost,net_return,gross_equity,net_equity
2023-01-06,"JNJ, TSLA",0.022387247088177076,2,0.001,0.001,0.002,0.020387247088177074,1.0223872470881772,1.020387247088177
2023-01-13,"AMZN, BRK.B",-0.016664218326065183,2,0.001,0.001,0.002,-0.018664218326065185,1.005349962788915,1.0013425167313905
2023-01-20,"META, V",0.06027141065744135,2,0.001,0.001,0.002,0.05827141065744135,1.065943823250609,1.0596921577326013
2023-01-27,"META, JNJ",0.10387761494200465,2,0.001,0.001,0.002,0.10187761494200465,1.176671525272044,1.1676510673351452
2023-02-03,"BRK.B, V",-0.00316262501652137,2,0.001,0.001,0.002,-0.00516262501652137,1.1729501544699905,1.161622922724353
2023-02-10,"V, BRK.B",-0.010672862049458276,2,0.001,0.001,0.002,-0.012672862049458276,1.1604314192804415,1.1469018356711789
2023-02-17,"META, BRK.B",-0.014046843646857377,2,0.001,0.001,0.002,-0.01604684364685738,1.1441310205709083,1.1284976812358698
2023-02-24,"BRK.B, META",0.057470145287360164,2,0.001,0.001,0.002,0.05547014528736016,1.2098843965508943,1.1910956115704725
2023-03-03,"V, JNJ",-0.02487252400109563,2,0.001,0.001,0.002,-0.026872524001095632,1.1797915178591312,1.1590878661609454
2023-03-10,"JNJ, TSLA",0.02182565330448938,2,0.001,0.001,0.002,0.019825653304489377,1.205541238499502,1.1820675403448926
2023-03-17,"JNJ, META",0.027469406898880333,2,0.001,0.001,0.002,0.02546940689888033,1.2386567413132248,1.2121740995118953
2023-03-24,"META, JNJ",0.022089938150578248,2,0.001,0.001,0.002,0.020089938150578246,1.2660185921186309,1.236526602198822
2023-03-31,"JNJ, BRK.B",0.03879824854381886,2,0.001,0.001,0.002,0.03679824854381886,1.315137896116745,1.2820286154375782
2023-04-07,"V, BRK.B",0.029333949003810367,2,0.001,0.001,0.002,0.027333949003810365,1.3537160840944122,1.3170715202333745
2023-04-14,"META, AAPL",-0.01998892159368787,2,0.001,0.001,0.002,-0.02198892159368787,1.3266567594293348,1.2881105378416835
2023-04-21,"V, MSFT",0.03479899820940513,2,0.001,0.001,0.002,0.03279899820940513,1.3728230856252115,1.3303592730658687
2023-04-28,"BRK.B, V",-0.009147930675936666,2,0.001,0.001,0.002,-0.011147930675936666,1.3602645952075867,1.3155285201156408
2023-05-05,"V, JNJ",-0.005729430946169789,2,0.001,0.001,0.002,-0.007729430946169789,1.3524710531408253,1.30536023326169
2023-05-12,"V, JPM",0.02311166761425487,2,0.001,0.001,0.002,0.02111166761425487,1.3837289145789173,1.3329185646231771
2023-05-19,"V, AAPL",-0.017016737930769965,2,0.001,0.001,0.002,-0.019016737930769967,1.360182362272299,1.30757080159668
2023-05-26,"AAPL, META",0.035901279318295565,2,0.001,0.001,0.002,0.03390127931829556,1.409014649184056,1.3518991245700567
2023-06-02,"JNJ, META",-0.004365820081157323,2,0.001,0.001,0.002,-0.006365820081157323,1.4028631447340034,1.3432931779751698
2023-06-09,"AAPL, JNJ",0.02412832310719404,2,0.001,0.001,0.002,0.022128323107194037,1.4367118799653198,1.3730180034450938
2023-06-16,"AMZN, META",0.02905452177597112,2,0.001,0.001,0.002,0.02705452177597112,1.4784548565675688,1.4101643489180993
2023-06-23,"AAPL, BRK.B",0.028101027206883455,2,0.001,0.001,0.002,0.026101027206883454,1.5200009567161228,1.4469710869553878
2023-06-30,"BRK.B, TSLA",0.024034904901554244,2,0.001,0.001,0.002,0.022034904901554242,1.5565340351610664,1.4788549572517484
2023-07-07,"BRK.B, V",0.01446773906501031,2,0.001,0.001,0.002,0.01246773906501031,1.5790535634275842,1.4972929349737603
2023-07-14,"BRK.B, TSLA",-0.031110096558860156,2,0.001,0.001,0.002,-0.03311009655886016,1.5299290545977398,1.4477174213198798
2023-07-21,"BRK.B, AAPL",0.015990042017635764,2,0.001,0.001,0.002,0.013990042017635764,1.5543926844647593,1.4679710488738082
2023-07-28,"BRK.B, V",0.007128950098846176,2,0.001,0.001,0.002,0.005128950098846176,1.56547387234632,1.4755001991300332
2023-08-04,"JPM, BRK.B",0.006911814217970713,2,0.001,0.001,0.002,0.004911814217970713,1.576294136915065,1.4827475819867386
2023-08-11,"JPM, MSFT",-0.023752546913213823,2,0.001,0.001,0.002,-0.025752546913213825,1.538853136478966,1.4445630553211708
2023-08-18,"BRK.B, V",0.014016479803402815,2,0.001,0.001,0.002,0.012016479803402815,1.5604224403868265,1.4619216181001795
2023-08-25,"BRK.B, V",0.020592522171023475,2,0.001,0.001,0.002,0.018592522171023473,1.5925554740866548,1.4891024281970056
2023-09-01,"JNJ, BRK.B",0.001201084647684425,2,0.001,0.001,0.002,-0.000798915352315575,1.594468268017166,1.4879127614059486
2023-09-08,"JNJ, V",-0.009804794081657353,2,0.001,0.001,0.002,-0.011804794081657353,1.578834834979521,1.4703482576460813
2023-09-15,"JNJ, BRK.B",-0.0134079101662965,2,0.001,0.001,0.002,-0.0154079101662965,1.557665959344696,1.4476932637791
2023-09-22,"JNJ, BRK.B",-0.028485943061019425,2,0.001,0.001,0.002,-0.030485943061019427,1.513294375518715,1.403558969369709
2023-09-29,"BRK.B, JNJ",0.00041516528090329574,2,0.001,0.001,0.002,-0.0015848347190967043,1.5139226428032164,1.4013345603847525
