week,selected_stocks,gross_return,selected_count,market_return,market_volatility,previous_market_volatility,entry_cost,exit_cost,total_cost,net_return,gross_equity,net_equity
2023-01-06,"JNJ, TSLA",0.02238733679177235,2,0.04539794969668067,0.047890508898452804,,0.001,0.001,0.002,0.020387336791772348,1.0223873367917724,1.0203873367917724
2023-01-13,"AMZN, BRK.B",-0.016664218326065183,2,0.008852544366258753,0.043195683184534164,0.047890508898452804,0.001,0.001,0.002,-0.018664218326065185,1.0053500509976698,1.0013426047607386
2023-01-20,"META, V",0.06027158264632959,2,0.06440345816968338,0.09854848446890324,0.043195683184534164,0.001,0.001,0.002,0.05827158264632959,1.0659440896848675,1.059692423111345
2023-01-27,"META, JNJ",0.10387782599813955,2,0.04388320099986916,0.07201481166950767,0.09854848446890324,0.001,0.001,0.002,0.10187782599813955,1.1766720443568974,1.1676515834046295
2023-02-03,"BRK.B, V",-0.003162658699577048,2,-0.02076802383869052,0.041066848316364014,0.07201481166950767,0.001,0.001,0.002,-0.005162658699577048,1.172950632279263,1.1616233967994907
2023-02-10,"V, BRK.B",-0.010672758782085456,2,0.002110449127623004,0.021473984947857936,0.041066848316364014,0.001,0.001,0.002,-0.012672758782085456,1.160432013117652,1.146902423696224
2023-02-17,"META, BRK.B",-0.014046754691904584,2,-0.030359805600084343,0.016677902248295903,0.021473984947857936,0.001,0.001,0.002,-0.016046754691904586,1.1441317092927554,1.1284983618476199
2023-02-24,"BRK.B, META",0.05746995690630663,2,0.026513921157718834,0.02692254428217646,0.016677902248295903,0.001,0.001,0.002,0.05546995690630663,1.209884909320949,1.191096117348145
2023-03-03,"V, JNJ",-0.024872442788160087,2,-0.04209327707968041,0.03231334209671133,0.02692254428217646,0.001,0.001,0.002,-0.02687244278816009,1.1797921161336054,1.1590884550795073
2023-03-10,"JNJ, TSLA",0.02182570888918267,2,0.0426824531279986,0.06337241769699507,0.03231334209671133,0.001,0.001,0.002,0.01982570888918267,1.2055419154100901,1.1820682053667262
2023-03-17,"JNJ, META",0.027469308759115574,2,0.020733205162314406,0.023820299240551318,0.06337241769699507,0.001,0.001,0.002,0.025469308759115572,1.2386573185065455,1.212174665463545
2023-03-24,"META, JNJ",0.02208991608783495,2,0.032283676298349454,0.02717221061242539,0.023820299240551318,0.001,0.001,0.002,0.020089916087834947,1.2660191547339377,1.236527152776507
2023-03-31,"JNJ, BRK.B",0.038798137374766895,2,0.002078164911255442,0.04589724402361456,0.02717221061242539,0.001,0.001,0.002,0.03679813737476689,1.3151383398183913,1.282029048812006
2023-04-07,"V, BRK.B",0.02933377351067612,2,0.016897361591387106,0.029408374814613857,0.04589724402361456,0.001,0.001,0.002,0.027333773510676118,1.3537163100138307,1.3170717404663408
2023-04-14,"META, AAPL",-0.01998892159368787,2,-0.012881573417408842,0.0409294376569362,0.029408374814613857,0.001,0.001,0.002,-0.02198892159368787,1.3266569808328676,1.2881107532319642
2023-04-21,"V, MSFT",0.03479924117422156,2,0.022906494821866196,0.04579687284267226,0.0409294376569362,0.001,0.001,0.002,0.03279924117422156,1.3728236370643352,1.3303598084863275
2023-04-28,"BRK.B, V",-0.009147930538764892,2,-0.0012297458733640965,0.019698668961300028,0.04579687284267226,0.001,0.001,0.002,-0.011147930538764892,1.360265141790496,1.3155290497497574
2023-05-05,"V, JNJ",-0.005729651683320236,2,0.010397837504990381,0.03993221368161771,0.019698668961300028,0.001,0.001,0.002,-0.007729651683320236,1.3524712963310743,1.3053604684159026
2023-05-12,"V, JPM",0.023111631853130588,2,0.03286665863076904,0.024657902220691072,0.03993221368161771,0.001,0.001,0.002,0.021111631853130586,1.3837291150238045,1.3329187580607291
2023-05-19,"V, AAPL",-0.017016795258138595,2,0.0131950588352442,0.03976124045388366,0.024657902220691072,0.001,0.001,0.002,-0.019016795258138597,1.3601824799807192,1.307570914942956
2023-05-26,"AAPL, META",0.035901471691742404,2,0.030921966921488762,0.02962180160886893,0.03976124045388366,0.001,0.001,0.002,0.0339014716917424,1.409015032781351,1.3518994933008401
2023-06-02,"JNJ, META",-0.004365982449045791,2,0.008031621010678603,0.050198307535994635,0.02962180160886893,0.001,0.001,0.002,-0.006365982449045791,1.402863297877786,1.3432933248536132
2023-06-09,"AAPL, JNJ",0.024128356863996503,2,0.02986467389320544,0.0206765584101152,0.050198307535994635,0.001,0.001,0.002,0.0221283568639965,1.4367120841603842,1.3730181989189982
2023-06-16,"AMZN, META",0.02905452177597112,2,-0.0007904316597565741,0.020138666026703483,0.0206765584101152,0.001,0.001,0.002,0.02705452177597112,1.478455066695423,1.4101645496804567
2023-06-23,"AAPL, BRK.B",0.02810111170878571,2,0.015539932053075222,0.021326871180433242,0.020138666026703483,0.001,0.001,0.002,0.026101111708785707,1.5200012976810513,1.4469714121194357
2023-06-30,"BRK.B, TSLA",0.024034904901554244,2,-0.0015523362816874386,0.021929735930234735,0.021326871180433242,0.001,0.001,0.002,0.022034904901554242,1.5565343843210544,1.4788552895807552
2023-07-07,"BRK.B, V",0.01446773906501031,2,0.027020640694836673,0.02114471579910625,0.021929735930234735,0.001,0.001,0.002,0.01246773906501031,1.5790539176391278,1.4972932714461582
2023-07-14,"BRK.B, TSLA",-0.031110096558860156,2,-0.010196965564206361,0.04202094758944872,0.02114471579910625,0.001,0.001,0.002,-0.03311009655886016,1.5299293977897281,1.4477177466516442
2023-07-21,"BRK.B, AAPL",0.01599004283451111,2,0.029193580716234645,0.04267192329595567,0.04202094758944872,0.001,0.001,0.002,0.013990042834511109,1.5543930343941634,1.4679713799395828
2023-07-28,"BRK.B, V",0.0071289496438106115,2,-0.019514234967830047,0.03632924533405812,0.04267192329595567,0.001,0.001,0.002,0.005128949643810611,1.5654742240630493,1.4755005312258482
2023-08-04,"JPM, BRK.B",0.00691186622002915,2,-0.006425742498798492,0.023596178789177864,0.03632924533405812,0.001,0.001,0.002,0.00491186622002915,1.576294572470677,1.4827479924428115
2023-08-11,"JPM, MSFT",-0.02375254446556574,2,-0.03244402911563991,0.03252176320756176,0.023596178789177864,0.001,0.001,0.002,-0.02575254446556574,1.5388535655472373,1.4445634588361997
2023-08-18,"BRK.B, V",0.014016578542440983,2,0.016454432997109046,0.03595829871869974,0.03252176320756176,0.001,0.001,0.002,0.012016578542440983,1.5604230274140454,1.4619221690988453
2023-08-25,"BRK.B, V",0.02059242434933506,2,0.022923586023416563,0.0264503560931987,0.03595829871869974,0.001,0.001,0.002,0.018592424349335057,1.5925559205590294,1.4891028464324316
2023-09-01,"JNJ, BRK.B",0.0012011870940840108,2,-0.0038292748609023543,0.022052092698006086,0.0264503560931987,0.001,0.001,0.002,-0.0007988129059159892,1.594468878177412,1.4879133318604651
2023-09-08,"JNJ, V",-0.009804875767199794,2,0.013349147463314892,0.036411850763277666,0.022052092698006086,0.001,0.001,0.002,-0.011804875767199794,1.578835308912216,1.470348699825492
2023-09-15,"JNJ, BRK.B",-0.013408011697599254,2,-0.035757998412245376,0.03507077727425334,0.036411850763277666,0.001,0.001,0.002,-0.015408011697599254,1.5576662666217385,1.447693549859031
2023-09-22,"JNJ, BRK.B",-0.0284858421431588,2,-0.009308837090378863,0.016447362257659675,0.03507077727425334,0.001,0.001,0.002,-0.030485842143158803,1.513294831239028,1.4035593928263594
2023-09-29,"BRK.B, JNJ",0.0004151118616392835,2,0.025362866442396104,0.02109905086920071,0.016447362257659675,0.001,0.001,0.002,-0.0015848881383607166,1.5139230178736327,1.4013349081931843
2023-10-06,"BRK.B, V",0.003790228868123968,2,0.0005891754089865752,0.01541011980344209,0.02109905086920071,0.001,0.001,0.002,0.0017902288681239682,1.5196611326000946,1.4038436183997416
2023-10-13,"JNJ, BRK.B",-0.025646240468934378,2,-0.03635033179322407,0.04320404023951976,0.01541011980344209,0.001,0.001,0.002,-0.02764624046893438,1.4806875377621393,1.3650326201446834
2023-10-20,"JNJ, MSFT",-0.01937707475514644,2,-0.0285715950771142,0.03374530615231119,0.04320404023951976,0.001,0.001,0.002,-0.02137707475514644,1.4519961446539085,1.335852215780637
2023-10-27,"MSFT, V",0.06610477294216177,2,0.059924815807627894,0.012005755295593048,0.03374530615231119,0.001,0.001,0.002,0.06410477294216177,1.5479800201091494,1.4214867187575384
2023-11-03,"MSFT, JNJ",0.010396176101382826,2,0.019044640190605998,0.029593727699085963,0.012005755295593048,0.001,0.001,0.002,0.008396176101382826,1.5640730929996263,1.4334217715740036
2023-11-10,"JNJ, META",0.018160275281084104,2,0.02649200566343146,0.025105663136218283,0.029593727699085963,0.001,0.001,0.002,0.016160275281084102,1.5924770909282362,1.4565862619965388
2023-11-17,"V, JNJ",0.02261934071789462,2,0.011774244247141175,0.007824695787104381,0.025105663136218283,0.001,0.001,0.002,0.02061934071789462,1.6284978728333834,1.4866201104176502
2023-11-24,"JPM, BRK.B",0.003012271066634764,2,-0.0006666232087945145,0.024472104755369765,0.007824695787104381,0.001,0.001,0.002,0.001012271066634764,1.6334033498577956,1.4881249729425032
2023-12-01,"V, BRK.B",-0.006971487238973617,2,0.006617211272119461,0.016957478947855497,0.024472104755369765,0.001,0.001,0.002,-0.008971487238973617,1.6220160992481651,1.4747742787377516
2023-12-08,"V, BRK.B",0.009320319198861338,2,0.011164341832949686,0.018692555567372798,0.016957478947855497,0.001,0.001,0.002,0.007320319198861338,1.63713380703885,1.4855700972043824
2023-12-15,"V, MSFT",0.005967672496777543,2,0.0148232491341721,0.027023840879332593,0.018692555567372798,0.001,0.001,0.002,0.003967672496777543,1.6469036854326602,1.4914643528210956
2023-12-22,"V, MSFT",0.005663518355911168,2,-0.0006136248002434397,0.010227122398199475,0.027023840879332593,0.001,0.001,0.002,0.003663518355911168,1.656230954685526,1.496928359854843
2023-12-29,"BRK.B, V",0.011251367109461063,2,-0.013383668812214455,0.031065430586783637,0.010227122398199475,0.001,0.001,0.002,0.009251367109461063,1.6748658171747464,1.5107769936484239
2024-01-05,"V, MSFT",0.03679706069169453,2,0.018478585404367566,0.04495330579485534,0.031065430586783637,0.001,0.001,0.002,0.034797060691694526,1.7364959562997702,1.5633475923880238
2024-01-12,"BRK.B, V",0.017371875260655534,2,0.011853892566911306,0.018941038696299664,0.04495330579485534,0.001,0.001,0.002,0.015371875260655534,1.7666621474432425,1.5873791765672587
2024-01-19,"JPM, BRK.B",0.030866068163493132,2,0.0010521622758429938,0.052367133065779,0.018941038696299664,0.001,0.001,0.002,0.02886606816349313,1.8211920617080888,1.6332005720793588
2024-01-26,"JNJ, V",0.008183079939298121,2,0.0274224616066583,0.07388000657730509,0.052367133065779,0.001,0.001,0.002,0.006183079939298121,1.8360950219338612,1.6432987817734328
2024-02-02,"JNJ, JPM",0.0012802339409875296,2,0.013881389381662678,0.017608077074515574,0.07388000657730509,0.001,0.001,0.002,-0.0007197660590124704,1.838445653099819,1.6421159910854957
2024-02-09,"JPM, JNJ",0.014606425512872057,2,-0.005713347560909765,0.030764560685904472,0.017608077074515574,0.001,0.001,0.002,0.012606425512872057,1.865298772591285,1.6628172040106113
2024-02-16,"V, JNJ",0.02594207569381579,2,0.01645557064755766,0.021950516646367806,0.030764560685904472,0.001,0.001,0.002,0.02394207569381579,1.9136884945414299,1.7026284993740124
2024-02-23,"META, V",0.018097077288612984,2,0.004432879607556206,0.029718523894446666,0.021950516646367806,0.001,0.001,0.002,0.016097077288612982,1.9483206631334753,1.7300358419222313
2024-03-01,"JNJ, V",-0.013527912423061283,2,-0.024918270988509628,0.04230141803075947,0.029718523894446666,0.001,0.001,0.002,-0.015527912423061284,1.921963951830565,1.7031719968801058
2024-03-08,"V, META",-0.016236635423537205,2,-0.0011109972663013723,0.03234464681071874,0.04230141803075947,0.001,0.001,0.002,-0.018236635423537206,1.890757723847511,1.6721118701094253
2024-03-15,"V, JPM",0.01699398858441259,2,0.02419160340869041,0.02698948563188178,0.03234464681071874,0.001,0.001,0.002,0.01499398858441259,1.9228892390224657,1.6971834964017067
2024-03-22,"V, META",-0.0309272956175502,2,0.0012789691565207816,0.023309640658666194,0.02698948563188178,0.001,0.001,0.002,-0.0329272956175502,1.8634194750874118,1.6412998336984603
2024-03-29,"JNJ, V",-0.021808117768699842,2,0.00041706765888765984,0.03909269633529917,0.023309640658666194,0.001,0.001,0.002,-0.023808117768699844,1.8227818037222168,1.6022235739640198
