open,high,low,close,volume,ticker,week,next_week_return,target,ret_1w,ret_2w,ret_4w,ret_8w,ret_12w,ret_26w,weekly_return,vol_4w,vol_12w,ma_4w,ma_12w,ma_ratio_4w,ma_ratio_12w,price_position_26w,volume_change_4w
33.61347426930669,33.710917651203445,33.040417283475556,33.45107650756836,316711600,AAPL,2017-07-07,0.033707952298774435,1,0.0011107089974393691,-0.01435618646957837,-0.03221897789112882,-0.07636159526031983,0.026409475508092584,0.23316746954751721,0.0011107089974393691,0.030657577334726672,0.029415101791656042,33.45282173156738,34.35750834147135,-5.216970971921864e-05,-0.026382350690107526,0.686818536834866,-0.4344652839221351
33.434838750141466,34.645928438020356,33.26315070466669,34.578643798828125,444353600,AAPL,2017-07-14,0.008252888384067125,1,0.033707952298774435,0.034856101022117114,0.04758544453927538,-0.026264249528417438,0.051909381477909466,0.26263479749974294,0.033707952298774435,0.023131724862121773,0.030745221214317765,33.84549617767334,34.49970658620199,0.021661600624972355,0.0022880546079109276,0.8097497335481637,-0.013817539413133573
34.527606707527475,35.205067754332376,34.46960441447506,34.864017486572266,424326400,AAPL,2017-07-21,-0.005124410341036834,0,0.008252888384067125,0.042239028650818744,0.027276450809635255,-0.021743358411120073,0.050402317015004305,0.26287047553340304,0.008252888384067125,0.020441159891029213,0.0307264935175926,34.07692527770996,34.63911565144857,0.02309751253811476,0.0064927129603058464,0.8342594996808647,0.0021688295523869527
34.935956489962216,35.72709053321311,34.17494874241261,34.685359954833984,423272400,AAPL,2017-07-28,0.04608724562579147,1,-0.005124410341036834,0.003086186856451345,0.038049860319410156,-0.03827589504016948,0.007767266623729396,0.23630919671424655,-0.005124410341036834,0.0170473177232142,0.029044755308467694,34.394774436950684,34.66139348347982,0.008448536809449791,0.0006914456963649229,0.7651686931371448,0.05248181099347038
34.77816410050082,37.063468015241696,34.367510525584244,36.283912658691406,691234000,AAPL,2017-08-04,0.010923912986339879,1,0.04608724562579147,0.04072666532667979,0.08468594876108426,0.04973847615913285,0.0018575993572342853,0.2218498630243977,0.04608724562579147,0.023349132721773348,0.028094463131736032,35.102983474731445,34.66699981689453,0.03364184656298641,0.04664126836291427,1.0,0.3941886652712019
36.43936279347197,37.54604597165815,36.01646947247143,36.680274963378906,605076400,AAPL,2017-08-11,0.0001271902885273679,1,0.010923912986339879,0.05751461167312755,0.06077829936817847,0.1112559063012295,0.03291775341924219,0.2015664640045427,0.010923912986339879,0.021859718342761875,0.027491974523760204,35.62839126586914,34.76441256205241,0.02952374946318259,0.05510987415382895,1.0,0.12892169127311925
37.108859972480495,37.851868971949614,36.50326282269144,36.684940338134766,538514000,AAPL,2017-08-18,0.014984084518480545,1,0.0001271902885273679,0.011052492690512006,0.05222928918802383,0.08093036963501832,0.029350290622530473,0.16984370171198782,0.0001271902885273679,0.023045457917609643,0.02750395807988619,36.083621978759766,34.85158030192057,0.016664578731285795,0.052604789232847615,1.0,-0.04607455269410943
36.68492351436463,37.43959143915482,36.128244499706646,37.2346305847168,450684800,AAPL,2017-08-25,0.026210257626524847,1,0.014984084518480545,0.015113180637041257,0.07349702102565403,0.11434343272898317,0.03240796172294158,0.17920540435795096,0.014984084518480545,0.019727254412420396,0.027609021105520885,36.72093963623047,34.94898192087809,0.013989046946377703,0.06539957784788264,1.0,-0.2112308276860141
37.29984624604826,38.41785868256609,37.25093143296134,38.2105598449707,504514800,AAPL,2017-09-01,-0.03303852807754759,0,0.026210257626524847,0.04158707886053237,0.05309921243617022,0.1422819183808779,0.10547876250712807,0.18310225639004996,0.026210257626524847,0.010777318841409027,0.024397196800487516,37.20260143280029,35.25280221303304,0.027093761547592354,0.08390134815564165,1.0,-0.03846540149324129
38.140685318075796,38.25714542591725,36.92484574480057,36.94813919067383,406640800,AAPL,2017-09-08,0.007880250260873467,1,-0.03303852807754759,-0.007694218783536488,0.00730267773516835,0.06852482143692429,0.11937105006624993,0.14927631329143964,-0.03303852807754759,0.025728770331517017,0.02213695793558357,37.26956748962402,35.58115164438883,-0.008624417201505863,0.038418867380886734,0.7847577731454531,-0.14407375803165978
37.38369886793957,38.189606393791436,36.78042823433006,37.23929977416992,884310000,AAPL,2017-09-15,-0.049975420144459326,0,0.007880250260873467,-0.025418629686176142,0.01511136261707069,0.06812990753324644,0.0972647004143774,0.15129970360285516,0.007880250260873467,0.02582540245330215,0.021354776083440996,37.40815734863281,35.856234868367515,-0.004513923871983017,0.03857250798584411,0.8300484669919159,0.5748010462700983
37.29285270270575,37.38369143693135,35.06846582006925,35.37825012207031,744754000,AAPL,2017-09-22,0.014682135249244332,1,-0.049975420144459326,-0.042488988701216535,-0.04985628790979457,0.01997644447509228,0.05878640571645821,0.0887077309997868,-0.049975420144459326,0.035307162406634666,0.026502704208241648,36.94406223297119,36.01992543538412,-0.04238332268462486,-0.01781445423769412,0.4960462799057352,0.1727395536984282
34.93570446891562,36.03741480448484,34.74238026319241,35.89767837524414,619427200,AAPL,2017-09-29,0.007656454412322766,1,0.014682135249244332,-0.036027030772913804,-0.06052990270518077,-0.01064478043149375,0.07313970499939626,0.08146982315026619,0.014682135249244332,0.03137489727590017,0.026606565690333043,36.36584186553955,36.223808924357094,-0.012873715175532485,-0.009003209734072426,0.5884683050792238,-0.06682274176952407
35.93027956667778,36.216782743794504,35.51102011384265,36.17252731323242,375137200,AAPL,2017-10-06,0.010882042552257998,1,0.007656454412322766,0.022451002760778493,-0.020991906343071798,-0.013842525734973687,0.04609444846007271,0.09218269736010076,0.007656454412322766,0.03020069942301028,0.02518523852885384,36.1719388961792,36.35663255055746,1.6267224571819838e-05,-0.0050638693522844225,0.6373722592065681,-0.4280635169218324
36.29129148774914,36.801405139755445,36.125937732873545,36.566158294677734,325219200,AAPL,2017-10-13,-0.004714050733814368,0,0.010882042552257998,0.01862181482729519,-0.018076104641449153,-0.003237896596319567,0.04882227955401408,0.12199233253657549,0.010882042552257998,0.03065924074249791,0.025236456650512176,36.00365352630615,36.498477617899574,0.01562354687033607,0.0018543424601624725,0.6919612806041437,-0.36989435309872776
